date,sentiment,Adj Close,Week_Number,month,year
2019-06-13,0,42.78200149536133,24,6,2019
2019-06-14,1,42.98400115966797,24,6,2019
2019-06-17,1,45.00600051879883,25,6,2019
2019-06-18,-2,44.948001861572266,25,6,2019
2019-06-19,2,45.2859992980957,25,6,2019
2019-06-20,3,43.92399978637695,25,6,2019
2019-06-21,1,44.37200164794922,25,6,2019
2019-06-24,-2,44.72800064086914,26,6,2019
2019-06-25,1,43.95199966430664,26,6,2019
2019-06-26,-1,43.854000091552734,26,6,2019
2019-06-27,-1,44.56800079345703,26,6,2019
2019-06-28,-1,44.69200134277344,26,6,2019
2019-07-01,0,45.433998107910156,27,7,2019
2019-07-02,3,44.90999984741211,27,7,2019
2019-07-03,-1,46.97999954223633,27,7,2019
2019-07-05,2,46.619998931884766,27,7,2019
2019-07-08,-1,46.06800079345703,28,7,2019
2019-07-09,1,46.012001037597656,28,7,2019
2019-07-10,1,47.784000396728516,28,7,2019
2019-07-11,1,47.720001220703125,28,7,2019
2019-07-12,1,49.01599884033203,28,7,2019
2019-07-15,2,50.70000076293945,29,7,2019
2019-07-16,-1,50.47600173950195,29,7,2019
2019-07-17,1,50.97200012207031,29,7,2019
2019-07-18,1,50.70800018310547,29,7,2019
2019-07-19,2,51.63600158691406,29,7,2019
2019-07-22,0,51.13600158691406,30,7,2019
2019-07-23,0,52.034000396728516,30,7,2019
2019-07-24,1,52.97600173950195,30,7,2019
2019-07-25,0,45.763999938964844,30,7,2019
2019-07-26,0,45.608001708984375,30,7,2019
2019-07-29,1,47.15399932861328,31,7,2019
2019-07-30,0,48.45199966430664,31,7,2019
2019-07-31,2,48.321998596191406,31,7,2019
2019-08-01,1,46.77000045776367,31,8,2019
2019-08-02,3,46.86800003051758,31,8,2019
2019-08-06,2,46.150001525878906,32,8,2019
2019-08-07,0,46.683998107910156,32,8,2019
2019-08-08,-2,47.65999984741211,32,8,2019
2019-08-09,2,47.00199890136719,32,8,2019
2019-08-12,0,45.801998138427734,33,8,2019
2019-08-13,0,47.0,33,8,2019
2019-08-14,0,43.92399978637695,33,8,2019
2019-08-15,4,43.12799835205078,33,8,2019
2019-08-16,2,43.987998962402344,33,8,2019
2019-08-19,3,45.36600112915039,34,8,2019
2019-08-20,-1,45.172000885009766,34,8,2019
2019-08-21,0,44.16600036621094,34,8,2019
2019-08-22,0,44.43000030517578,34,8,2019
2019-08-23,0,42.279998779296875,34,8,2019
2019-08-26,1,43.0,35,8,2019
2019-08-27,0,42.816001892089844,35,8,2019
2019-08-28,0,43.11800003051758,35,8,2019
2019-08-29,2,44.34199905395508,35,8,2019
2019-08-30,0,45.12200164794922,35,8,2019
